STOK KODU	STOK İSMİ	CİNSİ	MUHASEBE KODU	MUHASEBE HESAP İSMİ	STOK İADE MUHASEBE KODU	STOK İADE MUHASEBE HESAP İSMİ	YURT İÇİ SATIŞ MUHASEBE KODU	YURT İÇİ SATIŞ MUHASEBE HESAP İSMİ	YURT DIŞI SATIŞ MUHASEBE KODU	YURT DIŞI SATIŞ MUHASEBE HESAP İSMİ	SATIŞ İADE MUHASEBE KODU	SATIŞ İADE MUHASEBE HESAP İSMİ
150.05.TEF.0474	KANAT BOYA 0474 ÜST KAT - SARI YALDIZ	İlk madde ve malzeme	150.01.01.03.005	Teflon Granit Boya	150.01.01.03.005	Teflon Granit Boya	600.01.04.30.025	Teflon - Granit Boya	601	YURT DIŞI SATIŞLAR	610.01.04.30.025	Teflon Granit Boya
150.05.TEF.0804	NSC W2205-0804 PEMBE ÜST KAT	İlk madde ve malzeme	150.01.01.03.005	Teflon Granit Boya	150.01.01.03.005	Teflon Granit Boya	600.01.04.30.025	Teflon - Granit Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.TEF.0989	KANAT BOYA C24H750989 - YENİ GRİ	İlk madde ve malzeme	150.01.01.03.005	Teflon Granit Boya	150.01.01.03.005	Teflon Granit Boya	600.01.04.30.025	Teflon - Granit Boya	601	YURT DIŞI SATIŞLAR	610.01.04.30.025	Teflon Granit Boya
150.05.TEF.10143	WHİTFORD 10143 ÜST KAT SATEN BRONZ	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.TEF.1231	KANAT BOYA 1231 ÜST KAT(1231 IHLAMUR)	İlk madde ve malzeme	150.01.01.03.005	Teflon Granit Boya	150.01.01.03.005	Teflon Granit Boya	600.01.04.30.025	Teflon - Granit Boya	601	YURT DIŞI SATIŞLAR	610.01.04.30.025	Teflon Granit Boya
150.05.TEF.126/1205	AKCOAT - SİYAH ORTA KAT  - 126/1205	İlk madde ve malzeme	150.01.01.03.005	Teflon Granit Boya	150.01.01.03.005	Teflon Granit Boya	600.01.04.30.025	Teflon - Granit Boya	601	YURT DIŞI SATIŞLAR	610.01.04.30.025	Teflon Granit Boya
150.05.TEF.130.9002	GİZEMFRİT PC2 130/9001 AVCI YEŞİLİ ÜST KAT	İlk madde ve malzeme	150.01.01.03.005	Teflon Granit Boya	150.01.01.03.005	Teflon Granit Boya	600.01.04.30.025	Teflon - Granit Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.SLKB.9721	KANAT 5152019721 SİMLİ GÜMÜŞ (Vernik)	İlk madde ve malzeme	150.01.01.03.006	Silikon Boya	150.01.01.03.006	Silikon Boya	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.SLKB.9914	KANAT 5152019914 KRİSTAL (Vernik)	İlk madde ve malzeme	150.01.01.03.006	Silikon Boya	150.01.01.03.006	Silikon Boya	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.TEF.0074	NSC 0074 BEYAZ NOKTA	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.TEF.0177	NSC 0177 SİYAH NOKTA	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.TEF.0213T	NSC MR0213T KAPLAN VİOLET ÜST KAT	İlk madde ve malzeme	150.01.01.03.005	Teflon Granit Boya	150.01.01.03.005	Teflon Granit Boya	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.TEF.0253	NSC SAFLON KAHVESİ.2208-0253	İlk madde ve malzeme	150.01.01.03.005	Teflon Granit Boya	150.01.01.03.005	Teflon Granit Boya	600.01.04.30.025	Teflon - Granit Boya	601	YURT DIŞI SATIŞLAR	610.01.04.30.025	Teflon Granit Boya
150.05.TEF.0389	NSC W3213-0389 (MET. SYH)	İlk madde ve malzeme	150.01.01.03.044	Granit Boya	150.01.01.03.044	Granit Boya	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.TEF.0472	KANAT BOYA METALİK - 0472	İlk madde ve malzeme	150.01.01.03.005	Teflon Granit Boya	150.01.01.03.005	Teflon Granit Boya	600.01.04.30.025	Teflon - Granit Boya	601	YURT DIŞI SATIŞLAR	610.01.04.30.025	Teflon Granit Boya
150.05.SLK.3521	KANAT.SİLİKON ELMA ŞEKERİ. 3521	İlk madde ve malzeme	150.01.01.03.006	Silikon Boya	150.01.01.03.006	Silikon Boya	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.SLK.7482	KANAT.SİLİKON . KOYU GRİ. 7482	İlk madde ve malzeme	150.01.01.03.005	Teflon Granit Boya	150.01.01.03.005	Teflon Granit Boya	600.01.04.30.025	Teflon - Granit Boya	601	YURT DIŞI SATIŞLAR	610.01.04.30.025	Teflon Granit Boya
150.05.SLK.9369	KANAT.SİLİKON SİYAH.9369	İlk madde ve malzeme	150.01.01.03.006	Silikon Boya	150.01.01.03.006	Silikon Boya	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.SLK.9936	KANAT.SİLİKON VERNİK.9936	İlk madde ve malzeme	150.01.01.03.006	Silikon Boya	150.01.01.03.006	Silikon Boya	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.SLKB.0102	KANAT C16H510102 SİLİKON PEMBE	İlk madde ve malzeme	150.01.01.03.006	Silikon Boya	150.01.01.03.006	Silikon Boya	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.SLKB.6501	VIOLA FANTASY 7343/V6501Z SON KAT	İlk madde ve malzeme	150.01.01.03.006	Silikon Boya	150.01.01.03.006	Silikon Boya	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.SLKB.6502	ARTIC FIRE 7343/V6502Z SON KAT	İlk madde ve malzeme	150.01.01.03.006	Silikon Boya	150.01.01.03.006	Silikon Boya	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.SLKB.6850	ECLIPSE HB 72-752/V6850Z BLACK MIDCOAT	İlk madde ve malzeme	150.01.01.03.006	Silikon Boya	150.01.01.03.006	Silikon Boya	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.CER.9001	PFLUON SERAMİK BOYA - 9001 ŞEFFAF	İlk madde ve malzeme	150.01.01.03.005	Teflon Granit Boya	150.01.01.03.005	Teflon Granit Boya	600.01.04.30.025	Teflon - Granit Boya	601	YURT DIŞI SATIŞLAR	610.01.04.30.025	Teflon Granit Boya
150.05.SB-X01	XYLAC V3424 GOLD METALLIC (SİLİKON)	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.SLC.1001T	PFLUON-1001T -ŞEFFAF- ÜST KAT SİLİKON	İlk madde ve malzeme	150.01.01.03.031	Silikon Boya	150.01.01.03.031	Silikon Boya	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.SLC.3097P	PFLUON-3097P -KIRMIZI- ÜST KAT SİLİKON	İlk madde ve malzeme	150.01.01.03.005	Teflon Granit Boya	150.01.01.03.005	Teflon Granit Boya	600.01.04.30.025	Teflon - Granit Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.SLC.3258P	PFLUON-3258P -BORDO- ÜST KAT SİLİKON	İlk madde ve malzeme	150.01.01.03.005	Teflon Granit Boya	150.01.01.03.005	Teflon Granit Boya	600.01.04.30.025	Teflon - Granit Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.SLC.5184T	PFLUON-5184T -SİYAH- ÜST KAT TEFLON	İlk madde ve malzeme	150.01.01.03.005	Teflon Granit Boya	150.01.01.03.005	Teflon Granit Boya	600.01.04.30.025	Teflon - Granit Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.SLC.6071P	PFLUON-6071P -ELMA YEŞİLİ- ÜST KAT SİLİKON	İlk madde ve malzeme	150.01.01.03.004	Seramik Boya	150.01.01.03.004	Seramik Boya	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.SLC.8254P	PFLUON-8254P -SİYAH- ÜST KAT SİLİKON	İlk madde ve malzeme	150.01.01.03.031	Silikon Boya	150.01.01.03.031	Silikon Boya	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.V5858	QUANTANIUM 7141/V5858 SİYAH ASTAR	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.V8626	PPG - 70 - 300/V8626  ASTAR	İlk madde ve malzeme	150.01.01.03.005	Teflon Granit Boya	150.01.01.03.005	Teflon Granit Boya	600.01.04.30.025	Teflon - Granit Boya	601	YURT DIŞI SATIŞLAR	610.01.04.30.025	Teflon Granit Boya
150.05.CER.330/0010	ACCOAT - SERAMİK ŞEFFAF ÜST KAT..	İlk madde ve malzeme	150.01.01.03.005	Teflon Granit Boya	150.01.01.03.005	Teflon Granit Boya	600.01.04.30.025	Teflon - Granit Boya	601	YURT DIŞI SATIŞLAR	610.01.04.30.025	Teflon Granit Boya
150.05.CER.8P107	PFLUON SERAMİK BOYA - 8P107 - GRİ	İlk madde ve malzeme	150.01.01.03.005	Teflon Granit Boya	150.01.01.03.005	Teflon Granit Boya	600.01.04.30.025	Teflon - Granit Boya	601	YURT DIŞI SATIŞLAR	610.01.04.30.025	Teflon Granit Boya
150.05.CER.8P111	PFLUON SERAMİK BOYA - 8P111 - KIZIL TOPRAK	İlk madde ve malzeme	150.01.01.03.005	Teflon Granit Boya	150.01.01.03.005	Teflon Granit Boya	600.01.04.30.025	Teflon - Granit Boya	601	YURT DIŞI SATIŞLAR	610.01.04.30.025	Teflon Granit Boya
150.05.CER.8P681	PFLUON SERAMİK BOYA - C8445 -  8P681 -  YENİ SİYAH	İlk madde ve malzeme	150.01.01.03.005	Teflon Granit Boya	150.01.01.03.005	Teflon Granit Boya	600.01.04.30.025	Teflon - Granit Boya	601	YURT DIŞI SATIŞLAR	610.01.04.30.025	Teflon Granit Boya
150.05.CER.8P852	PFLUON SERAMİK BOYA -C8445 - 8P852 - KAVUNİÇİ AÇIK KREM.	İlk madde ve malzeme	150.01.01.03.005	Teflon Granit Boya	150.01.01.03.005	Teflon Granit Boya	600.01.04.30.025	Teflon - Granit Boya	601	YURT DIŞI SATIŞLAR	610.01.04.30.025	Teflon Granit Boya
150.05.AST.9343	WHİTFORD 9343 SİYAH ASTAR	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.9540P	NSC ASTAR- 9540P	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.9542	KANAT.ASTAR-9542	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.9543	KANAT.ASTAR-9543	İlk madde ve malzeme	150.01.01.03.005	Teflon Granit Boya	150.01.01.03.005	Teflon Granit Boya	600.01.04.30.025	Teflon - Granit Boya			610.01.04.30.025	Teflon Granit Boya
150.05.AST.7009P	PFULON W8636-7009P  ASTAR ( SİYAH )	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.7150	KANAT.ASTAR-7150	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.7209	KANAT.ASTAR-7300017209	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.7349	KANAT.7349.GRİ  ASTAR	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.7729	WHİTFORD 7729 GRİ ASTAR	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.7921T	PFLUON-7921T KREM- ÜST KAT	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.8322P	NSC  ASTAR- 8322P	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.9334	WHİTFORD 9334 SİYAH ASTAR	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.5221	NSC W2201-5221 (beyaz astar)	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.5978P	PFLUON-5978P (ASTAR)	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.5979P	PFLUON-5979P (ASTAR) KREM	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.5986	WHİTFORD 5986 ASTAR	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.6003P	PFLUON-6003P DİSCOVER(ASTAR) GRİ	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.6004P	PFLUON-6004P DİSCOVER(ASTAR) -KAHVE	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.63049.P	PFLUON-63049.P ASTAR	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.6501Z	QUANTANIUM 7343/V6501Z BASE COAT	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.290	201-290 FLORON REGULAR PLUS BASE COAT YELLOW	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.310/303	AKCOAT - SERAMİK SARI KREM ALT KAT. 	İlk madde ve malzeme	150.01.01.03.005	Teflon Granit Boya	150.01.01.03.005	Teflon Granit Boya	600.01.04.30.025	Teflon - Granit Boya	601	YURT DIŞI SATIŞLAR	610.01.04.30.025	Teflon Granit Boya
150.05.AST.3700P	NSC  ASTAR- 3700P	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.4262	NSC 2105-4262 ASTAR	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.4315	NSC METALİK KAHVE ASTAR. 4315	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.4555	WHİTFORD 4555 GRİ ASTAR	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.4556	WHİTFORD 4556 GRİ ORTA KAT.	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.4562Z	QUANTANIUM 7141/V4562Z GREY BASE COAT	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.1677	NSC W2311-1677 METALİK	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.192	284-192  FLORON REGULAR PLUS BASE -Astar	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.1965Z	QUANTANIUM 7141/V1965Z BASE COAT	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.2274	NSC W2103-2274 KAPLAN ASTAR	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.2417	NSC W2212-2417 VİOLET	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.2466Z	QUANTANIUM 7131/V2466Z BLACK BASE COAT	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.2789	NSC GRİ ASTAR- 2789	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.283.151	283-151 FLORKİM ASTAR	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.0399	NSC W3104-0399 (ORTA KAT)	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.0934	NSC ASTAR- 0934	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.0938	NSC W2104-0938 ASTAR	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.101	FLORKİM. EP100-101 ASTAR	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.110.2100	GİZEMFRİT PC2 110/2100 GRİ ASTAR	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.110/1112	AKCOAT - SİYAH ASTAR. 110/1112	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.151	283-151 FLORON REGULAR PLUS BASE COAT BLACK-Astar	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.162	285-162  FLORKİM GRİ ASTAR	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.8211.XL.G.CAY-O2	OFSET KUTU GRANİT KÜRE ÇAYDANLIK 8211-XL	İlk madde ve malzeme	150.01.01.05.001	Ofset Kutu	150.01.01.05.001	Ofset Kutu	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.8212.XL.G.CAY-O1	OFSET KUTU GRANİT KÜRE ÇAYDANLIK 8212-XL	İlk madde ve malzeme	150.01.01.05.001	Ofset Kutu	150.01.01.05.001	Ofset Kutu	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.8517.TEF	WHİTFORD 8517 KIRMIZI ÜST KAT.	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.8779	KANAT- 8120018779 KANASOL BASIC 8779 OMBRA KAHVE	İlk madde ve malzeme	150.01.01.03.005	Teflon Granit Boya	150.01.01.03.005	Teflon Granit Boya	600.01.04.30.025	Teflon - Granit Boya	601	YURT DIŞI SATIŞLAR	610.01.04.30.025	Teflon Granit Boya
150.05.9629	SİYAH ÜST KAT	İlk madde ve malzeme	150.01.01.03.005	Teflon Granit Boya	150.01.01.03.005	Teflon Granit Boya	600.01.04.30.025	Teflon - Granit Boya	601	YURT DIŞI SATIŞLAR	610.01.04.30.025	Teflon Granit Boya
150.05.AST.0164	NSC W2104-0164 GREY ASTAR	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.0167	NSC W2104-0167 ASTAR	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.AST.0397	NSC W3104-0397 (ASTAR)	İlk madde ve malzeme	150.01.01.03.007	Astar	150.01.01.03.007	Astar	600.01.04.30.027	Astar Boya	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.7841	7841 KIRÇIL	İlk madde ve malzeme	150.01.01.03.005	Teflon Granit Boya	150.01.01.03.005	Teflon Granit Boya	600.01.04.30.025	Teflon - Granit Boya	601	YURT DIŞI SATIŞLAR	610.01.04.30.025	Teflon Granit Boya
150.05.7849	7849 KIRÇIL	İlk madde ve malzeme	150.01.01.03.005	Teflon Granit Boya	150.01.01.03.005	Teflon Granit Boya	600.01.04.30.025	Teflon - Granit Boya	601	YURT DIŞI SATIŞLAR	610.01.04.30.025	Teflon Granit Boya
150.05.8200.M.G.CAY-O2	OFSET KUTU GRANİT ÇAYDANLIK 8200-M	İlk madde ve malzeme	150.01.01.05.001	Ofset Kutu	150.01.01.05.001	Ofset Kutu	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610.01.01.01.001	Çelik Tencere Seti
150.05.8200.XL.G.CAY-O1	OFSET KUTU GRANİT ÇAYDANLIK 8200-XL	İlk madde ve malzeme	150.01.01.05.001	Ofset Kutu	150.01.01.05.001	Ofset Kutu	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.8210.L.G.CAY-O1	OFSET KUTU GRANİT KÜRE ÇAYDANLIK 8210-L	İlk madde ve malzeme	150.01.01.05.001	Ofset Kutu	150.01.01.05.001	Ofset Kutu	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.8210.M.G.CAY-O2	OFSET KUTU GRANİT KÜRE ÇAYDANLIK 8210-M	İlk madde ve malzeme	150.01.01.05.001	Ofset Kutu	150.01.01.05.001	Ofset Kutu	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.8211.L.G.CAY-O2	OFSET KUTU GRANİT KÜRE ÇAYDANLIK 8211-L	İlk madde ve malzeme	150.01.01.05.001	Ofset Kutu	150.01.01.05.001	Ofset Kutu	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.8211.M.G.CAY-O2	OFSET KUTU GRANİT KÜRE ÇAYDANLIK 8211-M	İlk madde ve malzeme	150.01.01.05.001	Ofset Kutu	150.01.01.05.001	Ofset Kutu	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.09.SPTR-004	SEPERATÖR 40x20/40x12 İKİLİ TENCERE	İlk madde ve malzeme	150.01.01.05.009	Seperatör - Çap	150.01.01.05.009	Seperatör - Çap	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
150.05.09.SPTR-005	SEPARATÖR 26 CM TENCERE	İlk madde ve malzeme	150.01.01.05.009	Seperatör - Çap	150.01.01.05.009	Seperatör - Çap	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
