STOK KODU	STOK İSMİ	CİNSİ	MUHASEBE KODU	MUHASEBE HESAP İSMİ	STOK İADE MUHASEBE KODU	STOK İADE MUHASEBE HESAP İSMİ	YURT İÇİ SATIŞ MUHASEBE KODU	YURT İÇİ SATIŞ MUHASEBE HESAP İSMİ	YURT DIŞI SATIŞ MUHASEBE KODU	YURT DIŞI SATIŞ MUHASEBE HESAP İSMİ	SATIŞ İADE MUHASEBE KODU	SATIŞ İADE MUHASEBE HESAP İSMİ
740.51.708..002	DÜDÜKLÜ PVS TEPELİ EMNİYET VENTİLİ	Ticari mal	730.01.01.04.009	Bina Bakım Onarım Giderleri	730.01.01.04.009	Bina Bakım Onarım Giderleri	600.01.04.30.012	Düdüklü Kapağı Klasik	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.51.708.001	DÜDÜKLÜ TAHLİYE VENTİLİ	Ticari mal	730.01.01.04.009	Bina Bakım Onarım Giderleri	730.01.01.04.009	Bina Bakım Onarım Giderleri	600.01.04.30.012	Düdüklü Kapağı Klasik	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.51.708.002	DÜDÜKLÜ PVS TEPELİ EMNİYET VENTİLİ MONTAJSIZ	Ticari mal	730.01.01.04.009	Bina Bakım Onarım Giderleri	730.01.01.04.009	Bina Bakım Onarım Giderleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.51.708.003	DÜDÜKLÜ PVS TEPELİ EMNİYET VENTİLİ MONTAJSIZ	Ticari mal	730.01.01.04.009	Bina Bakım Onarım Giderleri	730.01.01.04.009	Bina Bakım Onarım Giderleri	600.01.04.30.012	Düdüklü Kapağı Klasik	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.51.708.004	MEME DÜDÜKLÜ KAPAK	Ticari mal	730.01.01.04.009	Bina Bakım Onarım Giderleri	730.01.01.04.009	Bina Bakım Onarım Giderleri	600.01.04.30.012	Düdüklü Kapağı Klasik	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.51.708.005	SAP DÜDÜKLÜ KAPAK	Ticari mal	730.01.01.04.009	Bina Bakım Onarım Giderleri	730.01.01.04.009	Bina Bakım Onarım Giderleri	600.01.04.30.012	Düdüklü Kapağı Klasik	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.51.708.006	MEGA SAP ÇELİK	Ticari mal	730.01.01.04.009	Bina Bakım Onarım Giderleri	730.01.01.04.009	Bina Bakım Onarım Giderleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.51.708.007	MEGA SAP BAKALİT	Ticari mal	150.01.01.03.010	Sap	150.01.01.03.010	Sap	600.01.04.30.004	Sap	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.51.708.008	BAKALİT KULP	Ticari mal	730.01.01.04.009	Bina Bakım Onarım Giderleri	730.01.01.04.009	Bina Bakım Onarım Giderleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.51.701.007	A4 KAĞIDI KOLİ	Ticari mal	730.01.01.04.013	Kırtasiye Ve Matbaa Giderleri	730.01.01.04.013	Kırtasiye Ve Matbaa Giderleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.51.701.01	KIRTASİYE ÜRÜNLERİ  GRUBU	Ticari mal	730.01.01.04.013	Kırtasiye Ve Matbaa Giderleri	730.01.01.04.013	Kırtasiye Ve Matbaa Giderleri	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
740.51.701.02	KOLİ BANT	Ticari mal	150.01.01.04.009	Slikon Yapıştırıcı	150.01.01.04.009	Slikon Yapıştırıcı	600	YURT İÇİ SATIŞLAR	601	YURT DIŞI SATIŞLAR	610	SATIŞTAN İADELER (-)
