CİNSİ	STOK İSMİ	STOK KODU
İlk madde ve malzeme	İÇ KUTU 18CM SİLİNDİR TENCERE - KATLANIR KULPLU- MOR YAZILI	150.14.C.TN.14.18
İlk madde ve malzeme	İÇ KUTU 20CM SİLİNDİR TENCERE - KATLANIR KULPLU - MOR YAZILI	150.14.C.TN.14.20
İlk madde ve malzeme	İÇ KUTU 22CM SİLİNDİR TENCERE - KATLANIR KULPLU-MOR YAZILI	150.14.C.TN.14.22
İlk madde ve malzeme	İÇ KUTU 16CM 2005 MODEL TENCERE	150.14.C.TN.2005.16
İlk madde ve malzeme	İÇ KUTU 18CM 2005 MODEL TENCERE	150.14.C.TN.2005.18
İlk madde ve malzeme	İÇ KUTU SARGI 18X6 ÇELİK MİNİ TENCERE 	150.14.C.MTN.10.02
İlk madde ve malzeme	İÇ KUTU SARGI 16X6 ÇELİK MİNİ KÜRE TENCERE 	150.14.C.MTN.11.01
İlk madde ve malzeme	İÇ KUTU 18CM SEMAVER(190*190*150).LOGOSUZ.YAZISIZ	150.14.C.SMVR.18
İlk madde ve malzeme	İÇ KUTU 18CM SEMAVER. R-117	150.14.C.SMVR.18.R117
İlk madde ve malzeme	İÇ KUTU 18CM SEMAVER. R-119	150.14.C.SMVR.18.R119
İlk madde ve malzeme	İÇ KUTU 20CM SEMAVER(210*210*165)LOGOSUZ.YAZISIZ	150.14.C.SMVR.20
Ticari mal	DÖKÜM.28 CM EMAYE KAPLI DEMİR DÖKÜM BASIK TENCERE	153.07.05.3365.28.RED
Ticari mal	SERİ SONU EMAYE KIZARTMA TENCERE Ø24 CM	153.07.05.EMY-24
Ticari mal	DÖKÜM YUVARLAK TENC.  Ø 22 CM KIRMIZI	153.07.05.LAVA-001
Ticari mal	DÖKÜM YUVARLAK TENC.  Ø 22 CM TURUNCU	153.07.05.LAVA-002
İlk madde ve malzeme	REZİSTANS 2500 W	150.10.REZ-004
İlk madde ve malzeme	REZİSTANS 2750 W	150.10.REZ-005
İlk madde ve malzeme	SABUN	150.10.SABUN
İlk madde ve malzeme	SAF SU	150.10.SAF.SU
İlk madde ve malzeme	MUAYENE ELDİVENİ	150.10.SELD-100
İlk madde ve malzeme	SOMUN M5 KARE 78x3.5	150.10.SMN-001
İlk madde ve malzeme	KULP TENCERE - LİDYA SERİSİ 4X18 PLANŞLI YAN KULP - RADÜS:28	150.06.ARM-YN0018-PS.28
İlk madde ve malzeme	KULP TENCERE - LİDYA SERİSİ 4X18 PLANŞLI YAN KULP - RADÜS:16 GOLD	150.06.ARM-YN18-PS.16.GLD
İlk madde ve malzeme	KULP TENCERE - LİDYA SERİSİ 4X18 PLANŞLI YAN KULP - RADÜS:18 GOLD	150.06.ARM-YN18-PS.18.GLD
İlk madde ve malzeme	KULP TENCERE - LİDYA SERİSİ 4X18 PLANŞLI YAN KULP - RADÜS:20 GOLD	150.06.ARM-YN18-PS.20.GLD
İlk madde ve malzeme	KULP TENCERE - LİDYA SERİSİ 4X18 PLANŞLI YAN KULP - RADÜS:22 GOLD	150.06.ARM-YN18-PS.22.GLD
İlk madde ve malzeme	KULP TENCERE - LİDYA SERİSİ 4X18 PLANŞLI YAN KULP - RADÜS:24 GOLD	150.06.ARM-YN18-PS.24.GLD
İlk madde ve malzeme	KULP TENC. ÇELİK BORU KULP 16.VM BAKALİT	150.06.B001.16
İlk madde ve malzeme	TEPE TENC. PLATİN  BERNARDO  BASKILI GEÇMELİ TEPE.	150.07.BRN.PLATIN
İlk madde ve malzeme	TEPE TENC. BAKALİT T053 AHŞAP - BERNARDO  LOGO	150.07.BRN.T053.AHŞAP
İlk madde ve malzeme	TEPE TENC. BAKALİT T053 SOFTAÇ SİYAH - BERNARDO  LOGO	150.07.BRN.T053.S.SIYAH
İlk madde ve malzeme	TEPE ÇAYDANLIK BOYALI	150.07.CAYD-B01
İlk madde ve malzeme	TEPE ÇAYDANLIK BORU	150.07.CAYD-B11
İlk madde ve malzeme	TEPE TENCERE - LİDYA SERİSİ 4X15 FLANŞLI TEPE - COCINERO LOGOLU-GOLD	150.07.COC.ARM-TP7-PS.GLD
Ticari mal	6 PCS YEMEK KAŞIĞI (ALMENDRA)	153.01.23.4120-YK-06
Ticari mal	61001 YM1 ÖZEL SERİ OMS 12 CM MUTFAK BIÇAĞI	153.01.23.61001-YM01
Ticari mal	61001 YM2 ÖZEL SERİ OMS 15 CM MUTFAK BIÇAĞI	153.01.23.61001-YM02
